QUESTIONNAIRE_ID,QST_ROUGE_SCORE_MEAN,QST_ROUGE_SCORE_VAR,ASW_ROUGE_SCORE_MEAN,ASW_ROUGE_SCORE_VAR
1146002,,,,
1146004,0.0,0.0,0.0,0.0
1173001,,,,
1173002,,,,
1173003,0.23624338624338617,0.0010031914000167984,0.14285714285714285,0.11700680272108846
1173004,,,,
1173005,0.20004391743522176,0.0006662514729956644,0.0,0.0
1213249,0.47101449275362317,0.03791220331863056,0.116640866873065,0.0069710063836517155
1433792,,,,
5100002,,,,
5100003,,,,
500000002,,,,
500000003,,,,
500000005,0.4402714932126696,0.03723203865604717,0.0,0.0
500100002,0.36387467021504843,0.020985983781632266,0.13333333333333333,0.12380952380952379
500100003,,,,
500100004,0.44013498965570313,0.014312259623067909,0.09649122807017543,0.03023391812865497
500100005,0.37414383002618296,0.009456977690315869,0.2222222222222222,0.18300653594771243
500100006,,,,
500100007,,,,
500100008,,,,
500100009,0.2152886533070865,0.003298381290136331,0.04444444444444444,0.028607918263090667
500100010,0.32887287681298993,0.0016172363698539274,0.06862745098039215,0.03839869281045752
500100011,,,,
500100012,0.45618095940676595,0.01287399337717556,0.22222222222222218,0.08703703703703702
500100013,,,,
500100014,,,,
500100015,0.4610371926548397,0.0022069525885880857,0.057999999999999996,0.04243333333333333
500100016,0.365063085063085,0.013911712550703195,0.0,0.0
500100017,0.3057191255949019,0.0011880617917842938,0.14016317016317015,0.025606444578472543
500100018,,,,
500100019,0.16037840967331105,0.00036296602796747094,0.36363636363636365,0.2545454545454546
500100020,0.25824734249416637,0.0068310904033617136,0.47619047619047616,0.2169312169312169
500100021,0.2164736836456704,0.013776820982649606,0.1911255411255411,0.08467584003298287
500100022,0.2775488831389452,0.004483630708584984,0.5763888888888888,0.22911405723905726
500100023,0.3429269792518431,0.0041817544663113404,0.15384615384615385,0.141025641025641
500100024,0.498515834675255,0.015952911689023384,0.045454545454545456,0.04545454545454548
500100025,,,,
500100026,,,,
500100027,,,,
500100028,,,,
500100029,0.21616082330368044,0.0007924590058725773,0.0,0.0
500100030,0.12717864923747277,0.006651732951713727,0.21666666666666665,0.1289473684210526
500100031,0.2223424723424723,0.004983471681704003,0.05,0.04999999999999999
500100032,0.15778478201078816,0.0013379284405502078,0.0,0.0
500100033,0.29614812432149895,0.002365105605492876,0.0,0.0
500100034,0.31461823200953637,0.0018837680694160698,0.0,0.0
500100035,0.33164251207729467,0.005266470629419588,0.06666666666666667,0.06666666666666668
500100036,0.2984549441786284,0.0006906328775033119,0.0,0.0
500100037,,,,
500100038,0.4227392641185745,0.0020433757989712005,0.2625,0.08280336257309943
500100039,,,,
500100040,,,,
500100041,,,,
500100042,,,,
500100043,0.5246658345035626,0.008161770430466174,0.13258928571428574,0.061850127551020415
500100044,0.14705995758627333,0.0006448836644264482,0.0,0.0
500100045,0.3496702819283464,0.022724930395415538,0.09008602969821804,0.011262205248313256
500100046,,,,
500100047,0.24210526315789474,0.0037838565712526944,0.0,0.0
500100048,0.4674933687002652,0.0011791314329135632,0.0,0.0
500100049,0.4383141762452107,0.0014240542563967078,0.0,0.0
500100050,0.3273596176821983,0.0068822628463434685,0.08348214285714287,0.023508290816326532
500100051,0.5160210386926073,0.02961539182298579,0.0,0.0
500100052,,,,
500100053,,,,
500100054,0.5180890538033396,0.006282957233792116,0.11111111111111112,0.09450830140485315
500100055,0.4879760818891254,0.07509965777433357,0.5285714285714286,0.2541950113378685
500100056,0.3375310559006211,0.003077234808542196,0.043181818181818175,0.00854568411386593
500100057,,,,
500100058,0.309421445577052,0.012992625665640816,0.0,0.0
500100059,0.3261622858459778,0.005495329751515037,0.05263157894736842,0.05263157894736842
500100060,0.37434158204344536,0.0027213272633163366,0.17391304347826084,0.0895915678524374
500100061,0.569320811607563,0.009597380750439142,0.19542857142857145,0.0666732426303855
500100062,0.14490642366786527,0.012973418455392944,0.03333333333333333,0.03333333333333332
500100063,0.41181179718264116,0.02168056521940355,0.15151515151515152,0.0764790764790765
500100064,0.2606000451161742,0.003387769140547059,0.05555555555555555,0.05555555555555556
500100065,0.3930327890118671,0.02029857233542962,0.12083333333333333,0.03884469696969697
500100066,0.39541707592127756,0.013956405205012458,0.0,0.0
