QUESTIONNAIRE_ID,POSITION_DEVIATION,FINAL_SCORE_MEAN,FINAL_SCORE_VAR,SIMILARITY_WITH_QUESTION_MEAN,SIMILARITY_WITH_QUESTION_VAR,SIMILARITY_WITH_TOPIC_MEAN,SIMILARITY_WITH_TOPIC_VAR
1146002,,,,,,,
1146004,,,,,,,
1173001,,,,,,,
1173002,,,,,,,
1173003,,,,,,,
1173004,0.1111111111111111,0.3521189396854085,0.011401965797302828,0.36802031487291326,0.008901212182865756,0.4055585046464268,0.0003736737531642334
1173005,,,,,,,
1213249,0.25,0.43008547433090233,0.020071904741510542,0.5123335472595713,0.001100579743486919,0.5130948656298027,3.6542784978129214e-05
1433792,,,,,,,
5100002,,,,,,,
5100003,,,,,,,
500000002,,,,,,,
500000003,,,,,,,
500000005,,,,,,,
500100002,,,,,,,
500100003,,,,,,,
500100004,,,,,,,
500100005,,,,,,,
500100006,,,,,,,
500100007,,,,,,,
500100008,,,,,,,
500100009,,,,,,,
500100010,,,,,,,
500100011,,,,,,,
500100012,,,,,,,
500100013,,,,,,,
500100014,,,,,,,
500100015,,,,,,,
500100016,,,,,,,
500100017,,,,,,,
500100018,,,,,,,
500100019,,,,,,,
500100020,,,,,,,
500100021,,,,,,,
500100022,,,,,,,
500100023,,,,,,,
500100024,,,,,,,
500100025,,,,,,,
500100026,,,,,,,
500100027,,,,,,,
500100028,,,,,,,
500100029,,,,,,,
500100030,,,,,,,
500100031,,,,,,,
500100032,,,,,,,
500100033,,,,,,,
500100034,,,,,,,
500100035,,,,,,,
500100036,,,,,,,
500100037,,,,,,,
500100038,,,,,,,
500100039,,,,,,,
500100040,,,,,,,
500100041,,,,,,,
500100042,,,,,,,
500100043,,,,,,,
500100044,,,,,,,
500100045,,,,,,,
500100046,,,,,,,
500100047,,,,,,,
500100048,,,,,,,
500100049,,,,,,,
500100050,,,,,,,
500100051,,,,,,,
500100052,,,,,,,
500100053,,,,,,,
500100054,,,,,,,
500100055,,,,,,,
500100056,,,,,,,
500100057,,,,,,,
500100058,,,,,,,
500100059,,,,,,,
500100060,,,,,,,
500100061,,,,,,,
500100062,,,,,,,
500100063,,,,,,,
500100064,,,,,,,
500100065,,,,,,,
500100066,,,,,,,
